Source,CH1,CH2,CH3
Second,Volt,Volt,Volt
-0.11268000000,0.80000,-20.00000,-32.00000
-0.11266000000,-36.80000,-28.00000,-34.00000
-0.11263998750,-35.20000,-28.00000,-32.00000
-0.11262000000,1.60000,-32.00000,-30.00000
-0.11260000000,4.00000,-32.00000,-32.00000
-0.11258000000,2.40000,-32.00000,-30.00000
-0.11256000000,48.80000,-40.00000,-30.00000
-0.11253998750,-36.00000,-36.00000,-30.00000
-0.11252000000,4.80000,-40.00000,-28.00000
-0.11250000000,2.40000,-44.00000,-24.00000
-0.11247998750,1.60000,-48.00000,-28.00000
-0.11246000000,-36.00000,-48.00000,-26.00000
-0.11244000000,-36.80000,-52.00000,-24.00000
-0.11241998750,2.40000,-56.00000,-28.00000
-0.11240000000,1.60000,-56.00000,-26.00000
-0.11238000000,1.60000,-60.00000,-22.00000
-0.11235998750,23.20000,-60.00000,-22.00000
-0.11234000000,-35.20000,-60.00000,-22.00000
-0.11232000000,5.60000,-64.00000,-20.00000
-0.11229998750,1.60000,-64.00000,-16.00000
-0.11228000000,1.60000,-68.00000,-20.00000
-0.11226000000,-34.40000,-72.00000,-20.00000
-0.11224000000,-36.80000,-76.00000,-20.00000
-0.11222000000,1.60000,-76.00000,-20.00000
-0.11220000000,3.20000,-80.00000,-16.00000
-0.11218000000,4.00000,-80.00000,-16.00000
-0.11216000000,2.40000,-84.00000,-16.00000
-0.11213998750,-36.00000,-80.00000,-16.00000
-0.11212000000,2.40000,-88.00000,-12.00000
-0.11210000000,2.40000,-88.00000,-12.00000
-0.11207998750,3.20000,-88.00000,-12.00000
-0.11206000000,-34.40000,-92.00000,-12.00000
-0.11204000000,-34.40000,-92.00000,-12.00000
-0.11201998750,3.20000,-96.00000,-16.00000
-0.11200000000,1.60000,-100.00000,-10.00000
-0.11198000000,-0.80000,-96.00000,-8.00000
-0.11196000000,0.80000,-100.00000,-8.00000
-0.11194000000,-33.60000,-104.00000,-8.00000
-0.11192000000,9.60000,-100.00000,-6.00000
-0.11190000000,2.40000,-108.00000,-4.00000
-0.11188000000,2.40000,-108.00000,-4.00000
-0.11186000000,-34.40000,-112.00000,-2.00000
-0.11184000000,-36.80000,-112.00000,-4.00000
-0.11182000000,2.40000,-116.00000,-4.00000
-0.11180000000,4.00000,-116.00000,-2.00000
-0.11178000000,4.00000,-116.00000,2.00000
-0.11176000000,3.20000,-120.00000,-2.00000
-0.11173998750,-33.60000,-120.00000,-2.00000
-0.11172000000,-0.80000,-128.00000,0.00
-0.11170000000,2.40000,-128.00000,4.00000
-0.11167998750,1.60000,-128.00000,4.00000
-0.11166000000,-34.40000,-132.00000,2.00000
-0.11164000000,-35.20000,-132.00000,2.00000
-0.11162000000,3.20000,-136.00000,2.00000
-0.11160000000,2.40000,-136.00000,6.00000
-0.11158000000,2.40000,-140.00000,8.00000
-0.11156000000,4.00000,-136.00000,4.00000
-0.11154000000,-34.40000,-140.00000,6.00000
-0.11152000000,-5.60000,-144.00000,8.00000
-0.11150000000,1.60000,-148.00000,10.00000
-0.11148000000,3.20000,-148.00000,8.00000
-0.11146000000,-34.40000,-148.00000,10.00000
-0.11144000000,-36.00000,-148.00000,8.00000
-0.11142000000,3.20000,-152.00000,8.00000
-0.11140000000,3.20000,-152.00000,12.00000
-0.11138000000,4.80000,-156.00000,16.00000
-0.11136000000,4.00000,-160.00000,12.00000
